JobIDRaw|JobName|Account|Partition|State|ExitCode|Elapsed|AllocCPUS|ReqMem|MaxRSS|Start|End
18269667|step05_cafe_bivalvia|YOUR_SLURM_ACCOUNT|compute|FAILED|1:0|00:00:29|12|16G||2026-08-05T00:35:52|2026-08-05T00:36:21
18269671|step05_cafe_bivalvia|YOUR_SLURM_ACCOUNT|compute|FAILED|1:0|00:02:20|12|16G||2026-08-05T00:40:52|2026-08-05T00:43:12
18269672|validate_cafe_prep|YOUR_SLURM_ACCOUNT|test|COMPLETED|0:0|00:00:23|2|4G||2026-08-05T00:39:30|2026-08-05T00:39:53
18269680|step05_cafe_bivalvia|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:06:51|12|16G||2026-08-05T00:45:53|2026-08-05T00:52:44
18269848|iqtree_restricted_combined|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|04:30:20|12|16G||2026-08-05T03:16:02|2026-08-05T07:46:22
18269849|iqtree_restricted_gastropoda|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|02:19:50|12|16G||2026-08-05T03:16:02|2026-08-05T05:35:52
18269850|step05_cafe_gastropoda|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:13:03|12|16G||2026-08-05T05:36:10|2026-08-05T05:49:13
18271353|step06_candidates|YOUR_SLURM_ACCOUNT|test|FAILED|1:0|00:00:16|4|8G||2026-08-05T11:17:41|2026-08-05T11:17:57
18271355|step06_candidates|YOUR_SLURM_ACCOUNT|test|FAILED|1:0|00:00:00|4|8G||2026-08-05T11:18:58|2026-08-05T11:18:58
18271359|step06_candidates|YOUR_SLURM_ACCOUNT|test|COMPLETED|0:0|00:01:04|4|8G||2026-08-05T11:20:29|2026-08-05T11:21:33
18271570|step07_eggnog_bivalvia|default|compute|CANCELLED by USER_ID|0:0|00:00:00|0|16G||None|2026-08-05T11:42:31
18271571|step07_eggnog_gastropoda|default|compute|CANCELLED by USER_ID|0:0|00:00:00|0|16G||None|2026-08-05T11:42:31
18271633|step07_eggnog_bivalvia|YOUR_SLURM_ACCOUNT|compute|FAILED|2:0|00:00:08|12|16G||2026-08-05T11:46:34|2026-08-05T11:46:42
18271634|step07_eggnog_gastropoda|YOUR_SLURM_ACCOUNT|compute|FAILED|2:0|00:00:08|12|16G||2026-08-05T11:46:34|2026-08-05T11:46:42
18271872|step07_eggnog_bivalvia|YOUR_SLURM_ACCOUNT|compute|FAILED|1:0|00:00:08|12|16G||2026-08-05T12:16:38|2026-08-05T12:16:46
18271873|step07_eggnog_gastropoda|YOUR_SLURM_ACCOUNT|compute|FAILED|1:0|00:00:25|12|16G||2026-08-05T12:16:38|2026-08-05T12:17:03
18272014|step07_eggnog_bivalvia|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|02:54:13|12|16G||2026-08-05T12:46:40|2026-08-05T15:40:53
